State,City,PM25,PM10,NO2,SO2,CO,O3,health_risk
Gujarat,Ahmedabad,60.78,95.68,18.21,29.48,9.07,34.75,High
Gujarat,Ahmedabad,91.83,95.68,28.71,39.71,12.99,38.46,High
Gujarat,Ahmedabad,93.88,95.68,29.38,62.75,18.21,46.79,High
Gujarat,Ahmedabad,173.01,95.68,42.27,78.76,48.44,59.39,High
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,105.45,95.68,16.1,29.29,2.5,69.9,High
Gujarat,Ahmedabad,71.56,95.68,16.83,30.28,3.51,57.16,High
Gujarat,Ahmedabad,119.8,95.68,24.07,50.35,4.13,50.49,High
Gujarat,Ahmedabad,106.71,95.68,25.59,38.85,5.39,60.17,High
Gujarat,Ahmedabad,118.49,95.68,28.94,54.2,4.11,53.61,High
Gujarat,Ahmedabad,106.01,95.68,27.31,70.29,4.28,40.91,High
Gujarat,Ahmedabad,97.34,95.68,21.58,64.39,3.67,45.69,High
Gujarat,Ahmedabad,83.92,95.68,25.03,67.53,6.42,34.94,High
Gujarat,Ahmedabad,49.51,95.68,14.16,48.33,3.1,37.95,High
Gujarat,Ahmedabad,30.76,95.68,14.14,43.62,2.72,54.78,High
Gujarat,Ahmedabad,50.29,95.68,29.84,59.23,5.34,45.44,High
Gujarat,Ahmedabad,57.69,95.68,29.48,58.33,25.36,52.87,High
Gujarat,Ahmedabad,105.06,95.68,37.05,53.62,46.24,45.65,High
Gujarat,Ahmedabad,94.1,95.68,36.53,61.31,22.14,46.77,High
Gujarat,Ahmedabad,111.89,95.68,43.29,66.44,22.25,50.57,High
Gujarat,Ahmedabad,108.59,95.68,39.34,75.8,25.38,46.68,High
Gujarat,Ahmedabad,130.76,95.68,41.03,65.77,45.61,41.58,High
Gujarat,Ahmedabad,143.55,95.68,31.15,50.98,27.3,35.38,High
Gujarat,Ahmedabad,165.07,95.68,34.48,64.32,23.83,43.79,High
Gujarat,Ahmedabad,166.85,95.68,43.3,79.71,17.93,53.44,High
Gujarat,Ahmedabad,147.38,95.68,35.82,46.89,6.4,17.94,High
Gujarat,Ahmedabad,158.25,95.68,27.89,142.36,5.86,38.54,High
Gujarat,Ahmedabad,237.76,95.68,21.8,96.28,4.99,39.77,High
Gujarat,Ahmedabad,133.37,95.68,17.99,57.34,3.88,39.66,High
Gujarat,Ahmedabad,133.3,95.68,20.0,51.58,6.52,59.03,High
Gujarat,Ahmedabad,96.04,95.68,20.07,62.42,3.8,46.61,High
Gujarat,Ahmedabad,77.69,95.68,18.87,100.48,5.24,27.14,High
Gujarat,Ahmedabad,53.07,95.68,13.82,40.36,4.17,21.76,High
Gujarat,Ahmedabad,63.11,95.68,15.5,38.21,5.63,4.72,High
Gujarat,Ahmedabad,156.76,95.68,16.7,26.32,3.92,37.11,High
Gujarat,Ahmedabad,120.96,95.68,20.86,35.54,4.23,35.66,High
Gujarat,Ahmedabad,138.63,95.68,25.47,87.43,5.65,29.77,High
Gujarat,Ahmedabad,144.36,95.68,30.69,66.39,15.82,27.34,High
Gujarat,Ahmedabad,85.03,95.68,26.7,59.16,3.3,35.89,High
Gujarat,Ahmedabad,134.6,95.68,26.27,34.53,5.9,7.0,High
Gujarat,Ahmedabad,61.06,95.68,14.03,8.08,3.52,19.54,High
Gujarat,Ahmedabad,39.42,95.68,19.56,17.66,5.28,31.3,Moderate
Gujarat,Ahmedabad,111.86,95.68,22.51,15.84,3.89,31.23,High
Gujarat,Ahmedabad,58.37,95.68,21.71,25.9,5.74,43.92,Moderate
Gujarat,Ahmedabad,95.37,95.68,26.23,13.59,18.01,41.64,High
Gujarat,Ahmedabad,141.3,95.68,36.88,41.06,30.8,37.66,High
Gujarat,Ahmedabad,106.68,95.68,46.38,31.56,19.91,48.49,High
Gujarat,Ahmedabad,109.48,95.68,20.27,46.6,4.3,31.34,High
Gujarat,Ahmedabad,126.04,95.68,20.18,79.56,6.99,28.71,High
Gujarat,Ahmedabad,71.22,95.68,21.32,50.09,16.73,28.39,High
Gujarat,Ahmedabad,97.87,95.68,17.96,13.85,6.3,34.16,High
Gujarat,Ahmedabad,63.38,95.68,13.28,24.79,3.44,43.62,High
Gujarat,Ahmedabad,75.29,95.68,14.29,76.05,3.35,60.71,High
Gujarat,Ahmedabad,80.9,95.68,18.62,65.44,5.7,22.8,High
Gujarat,Ahmedabad,103.29,95.68,19.82,85.42,4.55,22.18,High
Gujarat,Ahmedabad,107.5,95.68,15.56,74.37,5.29,10.12,High
Gujarat,Ahmedabad,161.14,95.68,14.77,118.35,3.11,59.73,High
Gujarat,Ahmedabad,102.58,95.68,12.74,41.94,3.88,26.89,High
Gujarat,Ahmedabad,138.42,95.68,16.7,77.74,5.05,27.18,High
Gujarat,Ahmedabad,129.04,95.68,14.86,78.27,5.69,18.67,High
Gujarat,Ahmedabad,96.65,95.68,15.9,39.41,4.67,11.83,High
Gujarat,Ahmedabad,126.77,95.68,23.93,93.18,15.69,36.71,High
Gujarat,Ahmedabad,106.15,95.68,23.02,65.95,13.12,81.6,High
Gujarat,Ahmedabad,86.31,95.68,10.5,50.13,2.69,90.54,High
Gujarat,Ahmedabad,83.99,95.68,0.08,34.06,2.73,69.57,High
Gujarat,Ahmedabad,65.11,95.68,4.58,22.27,3.14,32.26,High
Gujarat,Ahmedabad,51.03,95.68,20.47,15.5,6.24,31.44,Moderate
Gujarat,Ahmedabad,38.73,95.68,19.28,20.13,8.0,25.7,Moderate
Gujarat,Ahmedabad,61.12,95.68,17.82,39.69,9.94,25.9,High
Gujarat,Ahmedabad,58.44,95.68,17.24,54.69,10.68,18.89,High
Gujarat,Ahmedabad,61.49,95.68,16.69,42.66,11.44,18.2,High
Gujarat,Ahmedabad,65.39,95.68,16.08,27.96,12.3,22.35,High
Gujarat,Ahmedabad,100.92,95.68,18.9,31.9,20.42,22.84,High
Gujarat,Ahmedabad,97.48,95.68,30.02,36.05,5.31,16.26,High
Gujarat,Ahmedabad,129.27,95.68,28.33,70.13,14.28,25.4,High
Gujarat,Ahmedabad,129.58,95.68,28.79,17.66,21.23,34.42,High
Gujarat,Ahmedabad,100.57,95.68,18.79,38.76,7.56,38.83,High
Gujarat,Ahmedabad,130.34,95.68,17.43,52.07,7.14,29.05,High
Gujarat,Ahmedabad,53.24,95.68,15.86,36.23,8.05,21.58,Moderate
Gujarat,Ahmedabad,42.0,95.68,18.16,17.0,10.44,25.5,Moderate
Gujarat,Ahmedabad,50.1,95.68,14.9,30.67,9.46,12.91,Moderate
Gujarat,Ahmedabad,83.69,95.68,17.18,41.12,10.89,35.61,High
Gujarat,Ahmedabad,38.88,95.68,16.28,26.4,2.18,12.47,Moderate
Gujarat,Ahmedabad,46.89,95.68,16.17,41.96,2.96,10.74,High
Gujarat,Ahmedabad,70.96,95.68,15.47,23.67,4.12,16.01,High
Gujarat,Ahmedabad,53.66,95.68,14.43,14.46,4.23,45.64,Moderate
Gujarat,Ahmedabad,45.49,95.68,13.73,12.85,4.26,71.85,High
Gujarat,Ahmedabad,60.86,95.68,16.61,14.91,5.27,41.19,High
Gujarat,Ahmedabad,51.93,95.68,17.87,15.33,13.71,12.88,Moderate
Gujarat,Ahmedabad,77.87,95.68,17.12,46.82,6.67,16.67,High
Gujarat,Ahmedabad,57.59,95.68,15.47,41.68,5.6,25.51,High
Gujarat,Ahmedabad,77.22,95.68,15.47,71.97,7.02,9.56,High
Gujarat,Ahmedabad,45.29,95.68,12.74,18.64,7.25,6.32,Moderate
Gujarat,Ahmedabad,103.78,95.68,13.9,7.76,6.36,15.27,High
Gujarat,Ahmedabad,25.14,95.68,18.73,38.05,6.01,38.52,Moderate
Gujarat,Ahmedabad,87.03,95.68,17.88,23.84,8.05,48.22,High
Gujarat,Ahmedabad,89.6,95.68,19.84,48.05,6.59,44.78,High
Gujarat,Ahmedabad,80.69,95.68,16.07,39.85,6.86,32.65,High
Gujarat,Ahmedabad,44.75,95.68,16.53,9.89,7.76,8.07,Moderate
Gujarat,Ahmedabad,38.11,95.68,11.62,3.13,7.41,6.69,Moderate
Gujarat,Ahmedabad,45.5,95.68,15.59,0.76,8.56,3.82,Moderate
Gujarat,Ahmedabad,36.98,95.68,11.52,0.52,8.21,5.17,Moderate
Gujarat,Ahmedabad,43.58,95.68,13.33,1.02,8.26,7.56,Moderate
Gujarat,Ahmedabad,45.49,95.68,14.91,0.81,9.63,2.94,Moderate
Gujarat,Ahmedabad,38.06,95.68,18.57,1.05,8.67,4.63,Moderate
Gujarat,Ahmedabad,45.41,95.68,20.55,0.74,9.35,4.5,Moderate
Gujarat,Ahmedabad,37.71,95.68,16.26,0.87,8.54,4.6,Moderate
Gujarat,Ahmedabad,32.37,95.68,14.36,2.17,7.53,12.17,Moderate
Gujarat,Ahmedabad,34.74,95.68,13.51,4.11,7.59,12.22,Moderate
Gujarat,Ahmedabad,32.56,95.68,13.91,4.04,7.34,11.85,Moderate
Gujarat,Ahmedabad,29.28,95.68,11.68,4.01,7.55,12.64,Moderate
Gujarat,Ahmedabad,20.46,95.68,10.61,5.62,7.15,12.7,Moderate
Gujarat,Ahmedabad,26.07,95.68,11.07,4.1,7.99,10.57,Moderate
Gujarat,Ahmedabad,21.43,95.68,11.16,4.99,7.45,7.38,Moderate
Gujarat,Ahmedabad,11.91,95.68,10.1,10.86,7.34,5.47,Moderate
Gujarat,Ahmedabad,57.75,95.68,9.68,12.28,8.68,3.06,Moderate
Gujarat,Ahmedabad,66.39,95.68,12.79,11.09,8.58,4.96,High
Gujarat,Ahmedabad,62.61,95.68,9.83,12.31,9.15,6.44,High
Gujarat,Ahmedabad,47.5,95.68,9.53,13.91,8.07,7.28,Moderate
Gujarat,Ahmedabad,111.8,95.68,11.51,5.27,9.23,5.99,High
Gujarat,Ahmedabad,30.0,95.68,13.59,8.09,8.87,6.31,Moderate
Gujarat,Ahmedabad,4.66,95.68,10.9,7.31,9.01,6.38,Moderate
Gujarat,Ahmedabad,48.72,95.68,11.94,5.72,9.56,6.61,Moderate
Gujarat,Ahmedabad,49.7,95.68,9.81,6.78,9.43,6.42,Moderate
Gujarat,Ahmedabad,48.1,95.68,9.53,9.33,8.03,7.6,Moderate
Gujarat,Ahmedabad,47.43,95.68,9.45,7.93,8.11,7.08,Moderate
Gujarat,Ahmedabad,51.74,95.68,12.38,10.05,8.91,5.78,Moderate
Gujarat,Ahmedabad,42.68,95.68,11.08,10.87,9.74,4.44,Moderate
Gujarat,Ahmedabad,38.45,95.68,7.8,10.28,10.55,3.24,Moderate
Gujarat,Ahmedabad,46.69,95.68,0.17,10.25,11.48,5.76,Moderate
Gujarat,Ahmedabad,55.27,95.68,0.12,12.7,11.55,6.55,Moderate
Gujarat,Ahmedabad,149.03,95.68,0.16,10.07,11.49,7.27,High
Gujarat,Ahmedabad,86.57,95.68,0.17,11.09,11.47,6.53,High
Gujarat,Ahmedabad,111.77,95.68,0.24,7.73,11.3,4.67,High
Gujarat,Ahmedabad,151.4,95.68,0.36,7.8,10.8,5.46,High
Gujarat,Ahmedabad,51.35,95.68,2.69,10.0,8.0,5.76,Moderate
Gujarat,Ahmedabad,65.37,95.68,8.07,16.31,0.64,8.02,Moderate
Gujarat,Ahmedabad,56.28,95.68,8.02,18.93,0.6,6.2,Moderate
Gujarat,Ahmedabad,48.17,95.68,8.0,18.99,0.65,7.97,Moderate
Gujarat,Ahmedabad,33.56,95.68,7.89,11.28,0.72,10.18,Moderate
Gujarat,Ahmedabad,31.3,95.68,8.1,10.29,0.55,7.44,Moderate
Gujarat,Ahmedabad,48.12,95.68,7.9,1.28,0.67,6.3,Moderate
Gujarat,Ahmedabad,57.11,95.68,8.28,14.58,0.55,2.6,Moderate
Gujarat,Ahmedabad,34.72,95.68,9.73,13.62,0.1,4.87,Moderate
Gujarat,Ahmedabad,29.22,95.68,9.57,13.58,0.06,5.08,Low
Gujarat,Ahmedabad,29.79,95.68,8.64,15.11,0.14,5.34,Low
Gujarat,Ahmedabad,59.95,95.68,8.78,11.52,0.18,2.79,Moderate
Gujarat,Ahmedabad,19.2,95.68,9.45,11.23,1.52,4.61,Low
Gujarat,Ahmedabad,19.52,95.68,11.26,11.56,5.89,4.4,Moderate
Gujarat,Ahmedabad,35.16,95.68,10.89,14.7,5.75,3.67,Moderate
Gujarat,Ahmedabad,33.03,95.68,10.58,12.95,7.01,3.53,Moderate
Gujarat,Ahmedabad,40.95,95.68,10.47,19.8,6.92,3.38,Moderate
Gujarat,Ahmedabad,40.29,95.68,10.52,8.27,6.74,3.57,Moderate
Gujarat,Ahmedabad,41.16,95.68,10.51,13.48,6.91,3.69,Moderate
Gujarat,Ahmedabad,36.12,95.68,11.56,13.62,7.21,6.08,Moderate
Gujarat,Ahmedabad,28.51,95.68,20.52,5.69,6.69,7.65,Moderate
Gujarat,Ahmedabad,31.59,95.68,20.42,9.23,6.99,7.9,Moderate
Gujarat,Ahmedabad,42.56,95.68,20.4,6.28,7.17,9.86,Moderate
Gujarat,Ahmedabad,48.12,95.68,20.3,6.77,7.14,12.78,Moderate
Gujarat,Ahmedabad,37.09,95.68,20.21,8.66,7.22,7.94,Moderate
Gujarat,Ahmedabad,33.4,95.68,20.09,9.95,7.4,8.39,Moderate
Gujarat,Ahmedabad,38.64,95.68,20.21,9.74,7.35,6.28,Moderate
Gujarat,Ahmedabad,40.49,95.68,20.23,8.92,7.48,21.51,Moderate
Gujarat,Ahmedabad,41.37,95.68,20.2,11.73,7.47,19.8,Moderate
Gujarat,Ahmedabad,44.56,95.68,20.06,11.23,7.49,22.77,Moderate
Gujarat,Ahmedabad,65.68,95.68,19.94,8.21,7.57,30.21,High
Gujarat,Ahmedabad,33.34,95.68,20.27,6.41,7.3,32.95,Moderate
Gujarat,Ahmedabad,39.17,95.68,20.24,9.17,7.35,26.64,Moderate
Gujarat,Ahmedabad,34.0,95.68,20.1,9.64,7.41,17.17,Moderate
Gujarat,Ahmedabad,36.38,95.68,20.14,10.65,7.31,13.35,Moderate
Gujarat,Ahmedabad,38.35,95.68,20.16,9.33,7.41,18.59,Moderate
Gujarat,Ahmedabad,38.5,95.68,19.67,10.37,12.38,16.33,Moderate
Gujarat,Ahmedabad,39.61,95.68,14.84,10.76,17.31,5.38,Moderate
Gujarat,Ahmedabad,61.79,95.68,14.82,12.39,17.24,8.06,High
Gujarat,Ahmedabad,43.22,95.68,14.82,11.68,17.17,37.87,Moderate
Gujarat,Ahmedabad,33.41,95.68,14.86,12.96,17.12,86.83,High
Gujarat,Ahmedabad,36.9,95.68,14.85,4.73,17.08,54.01,High
Gujarat,Ahmedabad,36.36,95.68,14.79,8.86,17.11,77.3,High
Gujarat,Ahmedabad,32.64,95.68,14.84,7.05,17.01,62.31,High
Gujarat,Ahmedabad,38.23,95.68,14.89,10.9,17.07,55.94,High
Gujarat,Ahmedabad,39.86,95.68,14.83,10.02,16.98,96.83,High
Gujarat,Ahmedabad,72.74,95.68,14.84,4.23,17.04,99.03,High
Gujarat,Ahmedabad,43.2,95.68,14.86,5.96,17.05,59.99,High
Gujarat,Ahmedabad,63.2,95.68,14.82,3.69,17.03,7.57,High
Gujarat,Ahmedabad,64.73,95.68,14.82,6.45,17.01,12.13,High
Gujarat,Ahmedabad,65.28,95.68,14.85,6.13,17.04,18.2,High
Gujarat,Ahmedabad,67.86,95.68,14.87,8.87,16.97,16.53,High
Gujarat,Ahmedabad,52.4,95.68,14.81,9.89,16.97,22.55,Moderate
Gujarat,Ahmedabad,33.33,95.68,14.89,6.88,16.95,33.58,Moderate
Gujarat,Ahmedabad,29.52,95.68,14.88,8.56,16.94,40.65,Moderate
Gujarat,Ahmedabad,15.53,95.68,14.85,15.13,17.0,34.18,Moderate
Gujarat,Ahmedabad,57.51,95.68,50.9,8.73,16.31,15.39,High
Gujarat,Ahmedabad,50.24,95.68,12.31,11.63,9.46,13.61,Moderate
Gujarat,Ahmedabad,61.77,95.68,15.43,8.1,8.68,18.69,High
Gujarat,Ahmedabad,46.93,95.68,11.47,7.92,7.14,19.03,Moderate
Gujarat,Ahmedabad,43.01,95.68,9.96,11.58,6.82,20.59,Moderate
Gujarat,Ahmedabad,42.06,95.68,11.35,11.63,8.43,28.09,Moderate
Gujarat,Ahmedabad,44.94,95.68,10.94,5.85,7.14,59.38,High
Gujarat,Ahmedabad,29.58,95.68,9.94,8.82,6.61,42.9,Moderate
Gujarat,Ahmedabad,32.15,95.68,9.7,9.2,6.5,39.02,Moderate
Gujarat,Ahmedabad,36.33,95.68,12.88,8.28,7.68,43.35,Moderate
Gujarat,Ahmedabad,24.46,95.68,10.99,12.59,8.45,44.55,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,27.08,95.68,12.25,9.51,9.95,12.46,Moderate
Gujarat,Ahmedabad,59.29,95.68,9.68,5.98,9.21,7.69,Moderate
Gujarat,Ahmedabad,65.32,95.68,9.62,3.69,10.61,4.74,High
Gujarat,Ahmedabad,47.39,95.68,10.48,7.72,9.26,7.71,Moderate
Gujarat,Ahmedabad,43.88,95.68,19.75,4.83,8.69,11.53,Moderate
Gujarat,Ahmedabad,28.35,95.68,13.62,7.47,9.05,15.95,Moderate
Gujarat,Ahmedabad,3.59,95.68,14.17,9.6,11.26,20.38,Moderate
Gujarat,Ahmedabad,3.04,95.68,21.5,13.73,16.31,30.05,Moderate
Gujarat,Ahmedabad,19.14,95.68,30.6,10.96,10.33,29.36,Moderate
Gujarat,Ahmedabad,69.12,95.68,32.41,15.63,8.85,28.45,High
Gujarat,Ahmedabad,76.41,95.68,34.7,15.44,17.96,31.49,High
Gujarat,Ahmedabad,102.49,95.68,37.85,27.32,33.31,24.85,High
Gujarat,Ahmedabad,127.94,95.68,28.38,25.59,11.14,15.17,High
Gujarat,Ahmedabad,87.18,95.68,21.51,6.98,7.83,23.17,High
Gujarat,Ahmedabad,99.73,95.68,30.23,32.74,20.16,20.91,High
Gujarat,Ahmedabad,84.15,95.68,32.1,19.37,15.83,23.12,High
Gujarat,Ahmedabad,92.12,95.68,32.5,31.75,18.21,29.97,High
Gujarat,Ahmedabad,94.02,95.68,36.97,24.88,27.14,23.51,High
Gujarat,Ahmedabad,150.27,95.68,34.86,26.35,15.9,31.96,High
Gujarat,Ahmedabad,118.91,95.68,29.22,79.47,5.42,24.89,High
Gujarat,Ahmedabad,91.41,95.68,23.45,25.44,5.19,6.25,High
Gujarat,Ahmedabad,95.9,95.68,33.63,30.06,10.38,27.34,High
Gujarat,Ahmedabad,137.87,95.68,32.98,21.89,20.2,17.41,High
Gujarat,Ahmedabad,90.71,95.68,25.73,17.89,18.12,26.02,High
Gujarat,Ahmedabad,108.68,95.68,32.87,22.59,17.03,19.56,High
Gujarat,Ahmedabad,98.79,95.68,31.2,26.09,17.72,30.19,High
Gujarat,Ahmedabad,145.75,95.68,34.71,24.66,20.61,95.94,High
Gujarat,Ahmedabad,179.43,95.68,39.42,39.15,52.33,112.01,High
Gujarat,Ahmedabad,170.52,95.68,35.22,34.03,15.49,53.98,High
Gujarat,Ahmedabad,203.4,95.68,36.63,94.3,23.03,5.36,High
Gujarat,Ahmedabad,92.71,95.68,30.65,42.08,12.92,72.86,High
Gujarat,Ahmedabad,64.66,95.68,23.83,34.4,4.79,24.76,High
Gujarat,Ahmedabad,78.14,95.68,28.93,44.91,10.58,35.56,High
Gujarat,Ahmedabad,100.17,95.68,34.16,27.73,32.27,23.95,High
Gujarat,Ahmedabad,147.35,95.68,39.1,46.09,34.64,26.43,High
Gujarat,Ahmedabad,206.89,95.68,55.67,20.47,145.32,38.0,High
Gujarat,Ahmedabad,114.84,95.68,40.31,22.94,38.09,30.19,High
Gujarat,Ahmedabad,89.64,95.68,25.75,44.92,5.42,43.04,High
Gujarat,Ahmedabad,51.72,95.68,21.15,37.31,1.89,66.58,High
Gujarat,Ahmedabad,54.59,95.68,18.33,19.08,2.31,42.43,Moderate
Gujarat,Ahmedabad,46.5,95.68,12.1,13.73,1.22,61.56,High
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,122.54,95.68,44.2,13.78,75.42,60.66,High
Gujarat,Ahmedabad,147.18,95.68,36.87,21.24,33.06,131.12,High
Gujarat,Ahmedabad,214.67,95.68,42.21,22.18,57.37,30.84,High
Gujarat,Ahmedabad,207.13,95.68,35.31,50.33,28.41,30.84,High
Gujarat,Ahmedabad,191.01,95.68,50.11,40.78,39.61,27.9,High
Gujarat,Ahmedabad,192.35,95.68,29.04,29.18,9.39,33.21,High
Gujarat,Ahmedabad,127.64,95.68,31.91,26.94,6.74,47.33,High
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
